"DATAFILE_AS_OF","REPORT_YEAR","REPORT_NUMBER","SUPPLEMENTAL_NUMBER","OPERATOR_ID","PARTA2NAMEOFCOMP","PARTA5COMMODITY","INTER_INTRA","STATE_NAME","PARTKSTNR20MOREON","PARTKSTR20MOREON","PARTKST20MOREOFF","PARTKST20MORETOT","PARTKSTNR20LESSON","PARTKST20LESSOFF","PARTKST20LESSTOT","PARTKNSTNR125MOREON","PARTKNSTR125MOREON","PARTKNST125MOREOFF","PARTKNST125MORETOT","PARTKNSTNR125LESSON","PARTKNST125LESSOFF","PARTKNST125LESSTOT","PARTKNONRURALONTOTAL","PARTKRURALONTOTAL","PARTKOFFTOTAL","PARTKTOTAL"
41089.4660648148,2010,20110263,10269,31970,"CONOCOPHILLIPS ALASKA, INC.","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","ALASKA",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110157,10159,31973,"BOC GASES","CO2","INTRASTATE","WYOMING",,,,,,,,,,,,,,,,,,
41089.4660648148,2010,20110234,10237,31982,"KOCH NITROGEN COMPANY, LLC","HVL","INTRASTATE","IOWA",,0,,0,,,,,,,,,,,,0,,0
41089.4660648148,2010,20120106,11137,31983,"ENERGY PARTNERS, LTD","Crude Oil","INTRASTATE","LOUISIANA",,,0,0,,19.55,19.55,,,0,0,,0,0,,,19.55,19.55
41089.4660648148,2010,20110454,10497,32004,"QEP FIELD SERVICES COMPANY","HVL","INTRASTATE","WYOMING",0,57,,57,6,,6,0,0,,0,0,,0,6,57,,63
41089.4660648148,2010,20110184,10186,32011,"HOLLY ENERGY PARTNERS - OPERATING, L.P.","Crude Oil","INTERSTATE","NEW MEXICO",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110184,10186,32011,"HOLLY ENERGY PARTNERS - OPERATING, L.P.","Crude Oil","INTERSTATE","TEXAS",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110184,10186,32011,"HOLLY ENERGY PARTNERS - OPERATING, L.P.","Crude Oil","INTRASTATE","NEW MEXICO",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110168,10170,32011,"HOLLY ENERGY PARTNERS - OPERATING, L.P.","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","NEW MEXICO",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110168,10170,32011,"HOLLY ENERGY PARTNERS - OPERATING, L.P.","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","OKLAHOMA",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110168,10170,32011,"HOLLY ENERGY PARTNERS - OPERATING, L.P.","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","TEXAS",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110168,10170,32011,"HOLLY ENERGY PARTNERS - OPERATING, L.P.","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","IDAHO",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110168,10170,32011,"HOLLY ENERGY PARTNERS - OPERATING, L.P.","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","NEW MEXICO",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110168,10170,32011,"HOLLY ENERGY PARTNERS - OPERATING, L.P.","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","TEXAS",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110168,10170,32011,"HOLLY ENERGY PARTNERS - OPERATING, L.P.","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","UTAH",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110151,10415,32035,"LDH ENERGY PIPELINE L.P.","HVL","INTRASTATE","TEXAS",,,,,,,,,,,,,,,,,,
41089.4660648148,2010,20110416,10439,32044,"BP USFO/LOGISTICS","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","ILLINOIS",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110416,10439,32044,"BP USFO/LOGISTICS","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","INDIANA",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110416,10439,32044,"BP USFO/LOGISTICS","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","IOWA",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110416,10439,32044,"BP USFO/LOGISTICS","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","MICHIGAN",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110416,10439,32044,"BP USFO/LOGISTICS","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","MISSOURI",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110416,10439,32044,"BP USFO/LOGISTICS","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","NEW JERSEY",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110416,10439,32044,"BP USFO/LOGISTICS","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","OHIO",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110416,10439,32044,"BP USFO/LOGISTICS","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","OREGON",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110416,10439,32044,"BP USFO/LOGISTICS","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","ALABAMA",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
