"DATAFILE_AS_OF","REPORT_YEAR","REPORT_NUMBER","SUPPLEMENTAL_NUMBER","OPERATOR_ID","PARTA2NAMEOFCOMP","PARTA5COMMODITY","INTER_INTRA","STATE_NAME","PARTHON4LESS","PARTHON6","PARTHON8","PARTHON10","PARTHON12","PARTHON14","PARTHON16","PARTHON18","PARTHON20","PARTHON22","PARTHON24","PARTHON26","PARTHON28","PARTHON30","PARTHON32","PARTHON34","PARTHON36","PARTHON38","PARTHON40","PARTHON42","PARTHON44","PARTHON46","PARTHON48","PARTHON50","PARTHON52","PARTHON54","PARTHON56","PARTHON58OVER","PARTHONADDITIONAL","PARTHONTOTAL","PARTHOFF4LESS","PARTHOFF6","PARTHOFF8","PARTHOFF10","PARTHOFF12","PARTHOFF14","PARTHOFF16","PARTHOFF18","PARTHOFF20","PARTHOFF22","PARTHOFF24","PARTHOFF26","PARTHOFF28","PARTHOFF30","PARTHOFF32","PARTHOFF34","PARTHOFF36","PARTHOFF38","PARTHOFF40","PARTHOFF42","PARTHOFF44","PARTHOFF46","PARTHOFF48","PARTHOFF50","PARTHOFF52","PARTHOFF54","PARTHOFF56","PARTHOFF58OVER","PARTHOFFADDITIONAL","PARTHOFFTOTAL"
41089.4687037037,2010,20110079,10080,401,"HESS CORPORATION","CO2","INTRASTATE","NEW MEXICO",0,0,0,0,11.5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ; ",27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,," - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ; ",
41089.4687037037,2010,20110079,10080,401,"HESS CORPORATION","CO2","INTRASTATE","TEXAS",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ; ",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,," - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ; ",
41089.4687037037,2010,20110373,10391,402,"MARKWEST EAST TEXAS PNG UTILITY, LLC","HVL","INTRASTATE","TEXAS",0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ; ",49,,,,,,,,,,,,,,,,,,,,,,,,,,,,," - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ; ",
41089.4687037037,2010,20110110,10111,473,"ANADARKO PETROLEUM CORP","CO2","INTRASTATE","WYOMING",0,0,31,0,7,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ; ",155,,,,,,,,,,,,,,,,,,,,,,,,,,,,," - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ; ",
41089.4687037037,2010,20110135,10136,473,"ANADARKO PETROLEUM CORP","Crude Oil","INTRASTATE","WYOMING",8,29,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ; ",59,,,,,,,,,,,,,,,,,,,,,,,,,,,,," - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ; ",
41089.4687037037,2010,20110109,10142,473,"ANADARKO PETROLEUM CORP","HVL","INTRASTATE","COLORADO",0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ; ",0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,," - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ; ",
41089.4687037037,2010,20110109,10142,473,"ANADARKO PETROLEUM CORP","HVL","INTRASTATE","UTAH",0,1.7,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ; ",16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,," - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ; ",
41089.4687037037,2010,20110109,10142,473,"ANADARKO PETROLEUM CORP","HVL","INTRASTATE","WYOMING",47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ; ",49,,,,,,,,,,,,,,,,,,,,,,,,,,,,," - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ; ",
41089.4687037037,2010,20110445,10480,515,"DAKOTA GASIFICATION COMPANY","CO2","INTERSTATE","NORTH DAKOTA",0,0,0,0,49,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ; ",167,,,,,,,,,,,,,,,,,,,,,,,,,,,,," - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ; ",
41089.4687037037,2010,20120044,11063,879,"CHEMOIL TERMINALS CORP.","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","CALIFORNIA",5.17,1.984,7.212,5.702,9.693,1.415,0.974,0.676,3.823,0,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," - 0;  - 0;  - 0;  - 0;  - 0;  - 0;  - 0;  - 0;  - 0; ",36.747,,,,,,,,,,,,,,,,,,,,,,,,,,,,," - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ; ",
